Date,Open,High,Low,Close,Adj Close,Volume
2017-10-11,262.929993,263.506989,260.769989,263.085999,263.085999,0
2017-10-12,260.285004,261.313995,259.920013,260.441010,260.441010,0
2017-10-13,260.640015,261.475006,259.220001,260.720001,260.720001,0
2017-10-16,260.549988,261.829010,259.929993,260.760010,260.760010,0
2017-10-17,260.750000,262.368988,260.690002,260.882996,260.882996,0
2017-10-18,261.553986,262.617004,261.260010,261.720001,261.720001,0
2017-10-19,261.213013,262.221008,259.309998,261.212006,261.212006,0
2017-10-20,259.309998,261.856995,259.237000,259.510010,259.510010,0
2017-10-23,261.880005,262.545013,261.079987,261.864990,261.864990,0
2017-10-24,261.790985,263.847992,261.544006,261.783997,261.783997,0
2017-10-25,263.369995,264.057007,262.149994,263.309998,263.309998,0
2017-10-26,262.019989,266.266998,261.600006,261.938995,261.938995,0
2017-10-27,266.554993,268.856995,266.459015,266.690002,266.690002,0
2017-10-30,267.074005,268.234009,266.269989,267.367004,267.367004,0
2017-10-31,266.881989,267.937012,266.691986,266.856995,266.856995,0
2017-11-01,267.040009,268.687012,266.779999,266.868988,266.868988,0
2017-11-02,266.975006,267.226990,265.730011,267.079987,267.079987,0
2017-11-03,266.556000,267.747009,265.894012,266.429993,266.429993,0
2017-11-06,267.562012,268.759003,267.200012,267.343994,267.343994,0
2017-11-07,267.609985,269.455994,267.399994,267.660004,267.660004,0
2017-11-08,267.941010,269.335999,267.941010,268.165009,268.165009,0
2017-11-09,268.790009,269.247009,267.363007,268.997009,268.997009,0
2017-11-10,267.726990,268.696991,267.143005,267.404999,267.404999,0
2017-11-13,267.015015,268.237000,266.980011,267.226990,267.226990,0
2017-11-14,266.971985,267.175995,264.769989,266.959991,266.959991,0
2017-11-15,264.390015,264.889008,262.709991,264.354004,264.354004,0
2017-11-17,264.717010,264.955994,263.600006,264.480011,264.480011,0
2017-11-20,265.579987,266.222992,264.450012,265.497009,265.497009,0
2017-11-21,266.059998,267.721008,265.519989,266.196991,266.196991,0
2017-11-22,266.709991,267.039001,264.899994,266.858002,266.858002,0
2017-11-23,265.079987,265.226013,263.230011,265.119995,265.119995,0
2017-11-24,263.636993,263.950989,261.040009,263.359009,263.359009,0
2017-11-27,261.523010,261.856995,259.779999,261.579987,261.579987,0
2017-11-28,261.052002,262.316986,260.684998,261.037994,261.037994,0
2017-11-29,262.257996,263.669006,261.720001,262.287994,262.287994,0
2017-11-30,263.053986,264.639008,262.239990,263.237000,263.237000,0
2017-12-01,262.950012,264.618988,262.265015,263.113007,263.113007,0
2017-12-04,264.388000,265.027008,263.510010,264.390015,264.390015,0
2017-12-05,264.306000,265.964996,263.869995,264.075012,264.075012,0
2017-12-06,265.434998,266.941010,264.864990,265.299988,265.299988,0
2017-12-07,265.925995,267.266998,265.899994,266.177002,266.177002,0
2017-12-08,267.339996,268.408997,266.428009,267.320007,267.320007,0
2017-12-11,266.369995,266.842987,265.820007,266.350006,266.350006,0
2017-12-12,266.859985,268.194000,266.237000,267.040009,267.040009,0
2017-12-13,267.265015,267.987000,266.606995,267.149994,267.149994,0
2017-12-14,265.535004,266.908997,264.841003,265.545013,265.545013,0
2017-12-15,266.664001,266.925995,265.209991,266.885010,266.885010,0
2017-12-18,267.449005,267.449005,264.829987,267.359985,267.359985,0
2017-12-19,265.834991,265.864990,264.480011,265.790009,265.790009,0
2017-12-20,264.364990,264.566986,262.690002,264.329987,264.329987,0
2017-12-21,263.260010,263.731995,262.640015,263.239990,263.239990,0
2017-12-22,263.184998,263.911987,262.579987,262.924988,262.924988,0
2017-12-25,262.579987,262.940002,261.713989,262.470001,262.470001,0
2017-12-26,262.005005,263.037994,261.850006,262.070007,262.070007,0
2017-12-27,262.690002,262.911987,260.510010,262.627991,262.627991,0
2017-12-28,260.440002,260.786011,259.100006,260.289001,260.289001,0
2017-12-29,259.440002,259.897003,258.019989,259.440002,259.440002,0
2018-01-01,258.670013,258.820007,258.480011,258.670013,258.670013,0
2018-01-02,258.309998,258.575012,255.470001,258.273010,258.273010,0
2018-01-03,256.114990,257.807007,255.854996,256.108002,256.108002,0
2018-01-04,256.592987,256.987000,254.869995,256.730011,256.730011,0
2018-01-05,255.100006,256.627014,254.794998,255.080994,255.080994,0
2018-01-08,256.101013,258.411987,255.610001,256.166992,256.166992,0
2018-01-09,257.950012,259.878998,257.734009,257.920013,257.920013,0
2018-01-10,259.295013,259.718994,257.829987,259.304993,259.304993,0
2018-01-11,258.459991,259.139008,256.239990,258.665009,258.665009,0
2018-01-12,256.385010,256.386993,253.759995,256.250000,256.250000,0
2018-01-15,253.205002,253.289001,251.020004,252.983002,252.983002,0
2018-01-16,251.587006,253.218994,251.266998,251.535995,251.535995,0
2018-01-17,251.369995,253.089005,250.373001,251.238998,251.238998,0
2018-01-18,253.264999,253.395004,251.190002,252.970001,252.970001,0
2018-01-19,251.876007,252.919006,251.076004,251.779999,251.779999,0
2018-01-22,252.104996,253.199005,251.841995,252.000000,252.000000,0
2018-01-23,252.315002,253.587006,251.279999,252.419998,252.419998,0
2018-01-24,251.190002,251.475998,248.809998,251.207001,251.207001,0
2018-01-25,249.255005,249.699997,246.567001,249.449997,249.449997,0
2018-01-26,249.145996,249.542007,247.399994,249.240005,249.240005,0
2018-01-29,248.690002,251.188995,248.488998,248.753006,248.753006,0
2018-01-30,250.292999,251.513000,248.990005,250.179993,250.179993,0
2018-01-31,250.487000,250.725006,248.589996,250.460999,250.460999,0
2018-02-01,249.419998,250.209000,247.578003,249.289993,249.289993,0
2018-02-02,246.949997,249.677002,246.789993,246.826996,246.826996,0
2018-02-05,248.727005,249.858994,248.089996,248.731003,248.731003,0
2018-02-06,250.675995,252.039993,249.354996,250.917007,250.917007,0
2018-02-07,250.029999,252.899994,249.464996,250.212997,250.212997,0
2018-02-08,253.089005,254.703003,252.380005,252.880005,252.880005,0
2018-02-09,253.875000,255.457001,253.220001,253.875000,253.875000,0
2018-02-12,254.738007,255.003006,253.660004,254.710007,254.710007,0
2018-02-13,253.507004,253.809006,252.076996,253.470993,253.470993,0
2018-02-14,252.410004,254.828995,251.339996,252.516006,252.516006,0
2018-02-15,250.179993,250.660004,249.029999,250.354996,250.354996,0
2018-02-16,248.699997,250.496994,247.716003,248.770004,248.770004,0
2018-02-19,250.710007,251.541000,250.139008,250.750000,250.750000,0
2018-02-20,250.679993,253.061005,250.378998,250.669998,250.669998,0
2018-02-21,252.613998,253.923004,252.440002,252.847000,252.847000,0
2018-02-22,254.360001,254.949005,253.279999,254.229996,254.229996,0
2018-02-23,253.766006,254.723007,253.449997,253.600006,253.600006,0
2018-02-26,254.475006,255.348999,253.330002,254.501999,254.501999,0
2018-02-27,254.531006,256.938995,253.764008,254.539993,254.539993,0
2018-02-28,256.785004,257.595001,256.377991,256.690002,256.690002,0
2018-03-01,257.378998,258.062012,256.420013,257.389008,257.389008,0
2018-03-02,255.412994,256.036987,254.309998,255.431000,255.431000,0
2018-03-05,254.529999,255.429001,254.123001,254.500000,254.500000,0
2018-03-06,254.414993,254.766006,251.490005,254.686005,254.686005,0
2018-03-07,251.729996,252.360001,250.800003,252.018997,252.018997,0
2018-03-08,251.621994,253.376007,250.750000,251.399994,251.399994,0
2018-03-09,253.345993,254.067993,252.533005,253.210007,253.210007,0
2018-03-12,253.057007,253.748993,252.220001,253.057007,253.057007,0
2018-03-13,252.779007,253.046005,251.029999,252.630005,252.630005,0
2018-03-14,251.399994,252.229004,250.940994,251.389999,251.389999,0
2018-03-15,251.350006,252.570007,251.089996,251.462997,251.462997,0
2018-03-16,252.837006,253.639008,252.000000,252.630005,252.630005,0
2018-03-19,253.177002,253.606995,251.889999,253.050003,253.050003,0
2018-03-20,252.139999,253.789993,251.639999,252.201004,252.201004,0
2018-03-21,254.272995,254.272995,252.960007,254.070007,254.070007,0
2018-03-22,251.904999,253.550003,251.369995,251.884003,251.884003,0
2018-03-23,253.264999,254.125000,252.610001,253.039993,253.039993,0
2018-03-26,253.151993,253.179001,251.050003,252.899994,252.899994,0
2018-03-27,250.964996,252.806000,250.460007,251.020004,251.020004,0
2018-03-28,251.880005,253.307007,251.604996,252.106003,252.106003,0
2018-03-29,253.703995,254.259003,252.940002,253.794006,253.794006,0
2018-03-30,253.826004,253.936996,252.884995,253.660004,253.660004,0
2018-04-02,253.695007,254.537994,252.755005,253.677002,253.677002,0
2018-04-03,254.089996,254.813004,252.990005,253.994995,253.994995,0
